supplier,supplier_status,item,basis,spec_date,delivery_period_end,payment_terms,option,logistics,declared_price,consent_price,spec_price,volume_requested,volume_contracted,bids_submitted,bids_contracted,id,late
50 ЛЕТ ОКТЯБРЯ ООО,СХТП,подсолнечник,"Юг Руси, АО",2022-12-19,2022-12-25,По факту,15.0,0.0,25.5,25.0,25.0,40.0,60.0,1.0,1.0,"50 ЛЕТ ОКТЯБРЯ ООО_Юг Руси, АО_2022-12-19",0
50 ЛЕТ ОКТЯБРЯ ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-01-24,2023-02-12,По факту,15.0,0.0,27.5,27.5,27.5,50.0,59.0,1.0,1.0,"50 ЛЕТ ОКТЯБРЯ ООО_Юг Руси, АО_2023-01-24",0
50 ЛЕТ ОКТЯБРЯ ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2023-03-01,2023-03-05,По факту,5.0,0.0,30.5,30.5,0.0,15.0,0.0,1.0,0.0,"50 ЛЕТ ОКТЯБРЯ ООО_ЮР Успенский филиал, АО_2023-03-01",0
50 ЛЕТ ОКТЯБРЯ ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-04-29,2023-04-29,По факту,5.0,0.0,23.0,23.0,23.0,89.38,89.38,1.0,1.0,"50 ЛЕТ ОКТЯБРЯ ООО_Юг Руси, АО_2023-04-29",0
50 ЛЕТ ОКТЯБРЯ ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-05-02,2023-05-03,По факту,10.0,0.0,25.0,23.0,23.0,120.0,120.0,1.0,1.0,"50 ЛЕТ ОКТЯБРЯ ООО_Юг Руси, АО_2023-05-02",0
АВАНГАРД ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-02-07,2023-03-07,По факту,10.0,0.0,32.0,32.0,0.0,1000.0,0.0,1.0,0.0,"АВАНГАРД ДРУЖБА ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-02-07",0
АВАНГАРД ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-02-13,2023-03-20,По факту,10.0,0.0,32.0,31.0,0.0,1000.0,0.0,1.0,0.0,"АВАНГАРД ДРУЖБА ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-02-13",0
АВАНГАРД ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-02-15,2023-03-15,По факту,10.0,0.0,31.8,31.8,31.8,500.0,500.0,1.0,1.0,"АВАНГАРД ДРУЖБА ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-02-15",0
АВАНГАРД ДРУЖБА ООО,СХТП,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-03-02,2023-03-31,По факту,15.0,0.0,31.8,31.8,31.8,500.0,500.0,1.0,1.0,"АВАНГАРД ДРУЖБА ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-03-02",0
АВАНГАРД ООО,СХТП,подсолнечник,"Юг Руси, АО",2022-10-28,2022-11-11,По факту,10.0,0.0,24.0,23.0,0.0,400.0,0.0,1.0,0.0,"АВАНГАРД ООО_Юг Руси, АО_2022-10-28",0
