iter	Passed	Remaining
0	45	45166
1	49	24737
2	58	19524
3	62	15628
4	66	13255
5	72	11934
6	76	10837
7	80	9970
8	84	9294
9	88	8744
10	92	8285
11	95	7895
12	100	7599
13	103	7322
14	107	7089
15	111	6886
16	115	6695
17	119	6543
18	123	6399
19	127	6264
20	131	6140
21	135	6033
22	139	5928
23	143	5835
24	147	5759
25	151	5673
26	155	5605
27	159	5535
28	163	5473
29	167	5412
30	171	5368
31	175	5306
32	179	5261
33	183	5218
34	187	5173
35	192	5142
36	196	5109
37	200	5071
38	205	5062
39	209	5028
40	213	4996
41	217	4965
42	221	4928
43	225	4894
44	229	4859
45	232	4827
46	236	4798
47	240	4765
48	243	4731
49	247	4700
50	250	4670
51	254	4642
52	258	4613
53	261	4586
54	265	4561
55	268	4533
56	272	4512
57	276	4487
58	279	4463
59	283	4440
60	287	4418
61	290	4397
62	294	4375
63	297	4347
64	300	4327
65	304	4307
66	307	4288
67	311	4269
68	315	4252
69	318	4237
70	322	4219
71	326	4202
72	329	4187
73	333	4171
74	336	4155
75	340	4140
76	344	4126
77	347	4113
78	351	4097
79	355	4082
80	358	4068
81	362	4054
82	365	4039
83	369	4026
84	372	4013
85	376	4000
86	380	3990
87	383	3978
88	387	3966
89	391	3955
90	394	3944
91	398	3933
92	402	3921
93	405	3909
94	409	3898
95	412	3888
96	416	3877
97	420	3866
98	423	3856
99	427	3845
100	430	3835
101	434	3824
102	438	3815
103	441	3805
104	445	3796
105	448	3786
106	452	3777
107	456	3766
108	459	3757
109	463	3747
110	466	3739
111	470	3728
112	473	3719
113	477	3711
114	480	3701
115	484	3692
116	488	3683
117	491	3674
118	495	3667
119	498	3658
120	502	3650
121	506	3642
122	509	3635
123	513	3626
124	517	3619
125	520	3611
126	524	3604
127	527	3596
128	539	3640
129	542	3633
130	546	3625
131	550	3617
132	553	3609
133	557	3601
134	560	3593
135	564	3586
136	568	3578
137	571	3570
138	575	3563
139	578	3556
140	582	3548
141	586	3541
142	589	3533
143	593	3526
144	596	3520
145	600	3513
146	604	3507
147	608	3500
148	611	3493
149	615	3487
150	618	3480
151	622	3473
152	626	3466
153	629	3460
154	633	3453
155	637	3446
156	640	3440
157	644	3433
158	647	3427
159	651	3421
160	655	3415
161	659	3410
162	663	3406
163	667	3400
164	670	3394
165	674	3388
166	677	3381
167	681	3375
168	685	3369
169	688	3363
170	692	3357
171	696	3351
172	699	3345
173	703	3339
174	707	3334
175	711	3329
176	714	3322
177	718	3317
178	721	3310
179	725	3305
180	729	3299
181	732	3294
182	736	3288
183	740	3282
184	743	3276
185	747	3271
186	751	3265
187	754	3259
188	758	3253
189	761	3248
190	765	3242
191	768	3235
192	772	3229
193	776	3224
194	779	3218
195	783	3213
196	786	3207
197	790	3202
198	794	3197
199	798	3192
200	801	3187
201	805	3181
202	809	3176
203	812	3171
204	816	3165
205	819	3160
206	823	3155
207	827	3150
208	831	3146
209	835	3141
210	838	3135
211	842	3130
212	845	3125
213	849	3120
214	853	3115
215	856	3110
216	860	3105
217	864	3100
218	868	3096
219	872	3091
220	875	3086
221	879	3081
222	882	3076
223	886	3071
224	890	3066
225	893	3061
226	897	3056
227	901	3051
228	904	3046
229	908	3041
230	911	3035
231	915	3030
232	919	3025
233	922	3020
234	926	3015
235	929	3009
